images,category
1\fake_3_124849.jpg,1
0\genuine_1_6608.jpg,0
0\genuine_2_38918.jpg,0
0\genuine_3_40081.jpg,0
2\print_2_5541.jpg,2
2\print_1_1703.jpg,2
2\print_2_4446.jpg,2
2\print_1_3260.jpg,2
2\print_2_6165.jpg,2
1\fake_3_118434.jpg,1
0\genuine_2_24170.jpg,0
2\print_2_6444.jpg,2
0\genuine_2_36105.jpg,0
1\fake_2_68833.jpg,1
0\genuine_5_81927.jpg,0
0\genuine_2_32539.jpg,0
1\fake_1_19492.jpg,1
2\print_1_3633.jpg,2
2\print_2_5549.jpg,2
1\fake_7_241736.jpg,1
1\fake_2_82116.jpg,1
0\genuine_3_55060.jpg,0
0\genuine_4_63260.jpg,0
2\print_1_319.jpg,2
0\genuine_4_73785.jpg,0
2\print_2_6820.jpg,2
2\print_1_2187.jpg,2
2\print_1_339.jpg,2
2\print_2_6984.jpg,2
1\fake_2_61280.jpg,1
0\genuine_5_79010.jpg,0
1\fake_3_172356.jpg,1
1\fake_7_241198.jpg,1
1\fake_4_180150.jpg,1
0\genuine_2_27659.jpg,0
0\genuine_3_43038.jpg,0
1\fake_3_174166.jpg,1
0\genuine_2_22623.jpg,0
2\print_1_2585.jpg,2
1\fake_4_219009.jpg,1
2\print_1_341.jpg,2
2\print_1_3634.jpg,2
0\genuine_4_70925.jpg,0
2\print_2_7537.jpg,2
2\print_1_2267.jpg,2
2\print_1_221.jpg,2
2\print_2_6103.jpg,2
0\genuine_5_86876.jpg,0
2\print_1_800.jpg,2
1\fake_2_63441.jpg,1
2\print_1_859.jpg,2
1\fake_4_225868.jpg,1
0\genuine_1_2816.jpg,0
2\print_2_7873.jpg,2
2\print_2_7868.jpg,2
2\print_2_7461.jpg,2
2\print_1_1408.jpg,2
2\print_2_6115.jpg,2
0\genuine_1_12083.jpg,0
2\print_1_1380.jpg,2
1\fake_3_173616.jpg,1
2\print_1_3133.jpg,2
1\fake_3_118054.jpg,1
1\fake_8_249439.jpg,1
2\print_2_6721.jpg,2
1\fake_2_75525.jpg,1
1\fake_8_249523.jpg,1
0\genuine_1_7749.jpg,0
2\print_1_2529.jpg,2
1\fake_1_11707.jpg,1
0\genuine_1_671.jpg,0
0\genuine_4_78533.jpg,0
2\print_1_1865.jpg,2
0\genuine_4_65890.jpg,0
2\print_2_6492.jpg,2
0\genuine_2_38826.jpg,0
2\print_2_6742.jpg,2
2\print_2_6929.jpg,2
1\fake_3_163872.jpg,1
0\genuine_2_26355.jpg,0
0\genuine_1_1062.jpg,0
1\fake_3_166175.jpg,1
0\genuine_2_32452.jpg,0
1\fake_4_224119.jpg,1
1\fake_1_44061.jpg,1
1\fake_4_200477.jpg,1
0\genuine_2_22830.jpg,0
1\fake_2_92063.jpg,1
1\fake_3_151161.jpg,1
0\genuine_3_44002.jpg,0
2\print_1_1081.jpg,2
0\genuine_1_15117.jpg,0
1\fake_1_6004.jpg,1
1\fake_3_159050.jpg,1
2\print_1_1261.jpg,2
0\genuine_4_74452.jpg,0
0\genuine_2_25904.jpg,0
1\fake_4_180416.jpg,1
1\fake_2_113623.jpg,1
0\genuine_3_40301.jpg,0
2\print_2_6043.jpg,2
2\print_1_3552.jpg,2
1\fake_2_106739.jpg,1
0\genuine_1_4687.jpg,0
1\fake_4_210835.jpg,1
0\genuine_2_30432.jpg,0
0\genuine_4_68384.jpg,0
0\genuine_3_43874.jpg,0
1\fake_2_112496.jpg,1
1\fake_2_94582.jpg,1
0\genuine_2_34242.jpg,0
0\genuine_2_22302.jpg,0
2\print_1_765.jpg,2
2\print_1_998.jpg,2
0\genuine_3_48120.jpg,0
1\fake_1_11450.jpg,1
2\print_1_2317.jpg,2
1\fake_2_74419.jpg,1
1\fake_4_195870.jpg,1
2\print_2_6486.jpg,2
2\print_2_5836.jpg,2
0\genuine_2_20798.jpg,0
1\fake_3_152643.jpg,1
0\genuine_3_44433.jpg,0
0\genuine_2_34614.jpg,0
1\fake_1_360.jpg,1
1\fake_1_8690.jpg,1
1\fake_3_159536.jpg,1
2\print_1_185.jpg,2
1\fake_2_74630.jpg,1
1\fake_4_229868.jpg,1
1\fake_4_180513.jpg,1
2\print_1_1394.jpg,2
2\print_2_7426.jpg,2
1\fake_3_170788.jpg,1
1\fake_4_205834.jpg,1
0\genuine_2_24397.jpg,0
1\fake_4_204772.jpg,1
0\genuine_4_66852.jpg,0
2\print_1_560.jpg,2
2\print_1_2021.jpg,2
0\genuine_4_70288.jpg,0
1\fake_3_117609.jpg,1
0\genuine_2_23710.jpg,0
0\genuine_5_79749.jpg,0
2\print_1_2475.jpg,2
1\fake_1_26684.jpg,1
1\fake_4_217200.jpg,1
2\print_1_1190.jpg,2
2\print_1_202.jpg,2
1\fake_1_33984.jpg,1
2\print_2_5932.jpg,2
2\print_2_6821.jpg,2
2\print_2_6384.jpg,2
0\genuine_3_48718.jpg,0
1\fake_1_19674.jpg,1
2\print_2_4942.jpg,2
1\fake_3_169943.jpg,1
2\print_2_4431.jpg,2
0\genuine_1_704.jpg,0
1\fake_1_16818.jpg,1
0\genuine_4_77561.jpg,0
1\fake_3_164264.jpg,1
1\fake_3_121709.jpg,1
1\fake_3_124838.jpg,1
2\print_2_4315.jpg,2
1\fake_4_217351.jpg,1
1\fake_3_121987.jpg,1
1\fake_3_141024.jpg,1
2\print_1_1067.jpg,2
1\fake_2_78880.jpg,1
1\fake_1_7751.jpg,1
0\genuine_1_17886.jpg,0
0\genuine_3_58813.jpg,0
0\genuine_5_85355.jpg,0
1\fake_2_67539.jpg,1
1\fake_4_226306.jpg,1
1\fake_1_34835.jpg,1
1\fake_4_207164.jpg,1
2\print_1_741.jpg,2
1\fake_4_212017.jpg,1
0\genuine_5_83850.jpg,0
1\fake_3_144722.jpg,1
1\fake_4_198515.jpg,1
2\print_2_5317.jpg,2
2\print_2_6673.jpg,2
1\fake_2_101133.jpg,1
0\genuine_2_32687.jpg,0
2\print_1_516.jpg,2
2\print_1_848.jpg,2
2\print_1_3247.jpg,2
2\print_1_2674.jpg,2
2\print_2_7034.jpg,2
0\genuine_2_33257.jpg,0
0\genuine_1_9832.jpg,0
1\fake_1_28292.jpg,1
0\genuine_3_51750.jpg,0
2\print_2_4921.jpg,2
0\genuine_3_45107.jpg,0
1\fake_3_149739.jpg,1
1\fake_1_24554.jpg,1
0\genuine_4_78200.jpg,0
1\fake_1_19415.jpg,1
1\fake_2_79323.jpg,1
2\print_2_6730.jpg,2
0\genuine_2_29616.jpg,0
1\fake_2_75503.jpg,1
0\genuine_4_74518.jpg,0
1\fake_4_207482.jpg,1
2\print_2_4628.jpg,2
2\print_2_6392.jpg,2
0\genuine_4_66721.jpg,0
0\genuine_5_80395.jpg,0
0\genuine_2_39226.jpg,0
2\print_2_6078.jpg,2
1\fake_1_30331.jpg,1
0\genuine_1_18890.jpg,0
1\fake_3_137982.jpg,1
1\fake_1_5570.jpg,1
0\genuine_3_40535.jpg,0
1\fake_2_97191.jpg,1
2\print_1_1822.jpg,2
0\genuine_1_1544.jpg,0
0\genuine_2_32584.jpg,0
1\fake_8_243848.jpg,1
0\genuine_3_47679.jpg,0
0\genuine_4_77126.jpg,0
1\fake_2_99655.jpg,1
1\fake_1_22681.jpg,1
0\genuine_2_21009.jpg,0
2\print_2_7045.jpg,2
1\fake_4_197584.jpg,1
0\genuine_5_85472.jpg,0
0\genuine_3_49185.jpg,0
2\print_2_6653.jpg,2
1\fake_1_21131.jpg,1
0\genuine_1_8670.jpg,0
0\genuine_4_70321.jpg,0
2\print_2_5573.jpg,2
2\print_2_5756.jpg,2
2\print_2_4641.jpg,2
1\fake_2_88289.jpg,1
0\genuine_1_8676.jpg,0
2\print_1_1066.jpg,2
0\genuine_4_67354.jpg,0
0\genuine_1_19120.jpg,0
0\genuine_3_47946.jpg,0
1\fake_3_123360.jpg,1
2\print_1_1176.jpg,2
1\fake_2_78451.jpg,1
0\genuine_4_78482.jpg,0
1\fake_4_214593.jpg,1
0\genuine_1_3080.jpg,0
0\genuine_3_39540.jpg,0
0\genuine_3_51812.jpg,0
2\print_2_5761.jpg,2
2\print_2_5413.jpg,2
2\print_1_432.jpg,2
0\genuine_4_61570.jpg,0
1\fake_1_36414.jpg,1
1\fake_3_133180.jpg,1
1\fake_8_249152.jpg,1
2\print_1_1803.jpg,2
2\print_1_1856.jpg,2
1\fake_1_9035.jpg,1
1\fake_7_242527.jpg,1
0\genuine_3_46293.jpg,0
1\fake_1_14270.jpg,1
0\genuine_3_54286.jpg,0
0\genuine_1_18698.jpg,0
2\print_2_6633.jpg,2
1\fake_1_42057.jpg,1
2\print_2_5240.jpg,2
2\print_1_2993.jpg,2
1\fake_1_29184.jpg,1
0\genuine_2_35159.jpg,0
0\genuine_5_83226.jpg,0
0\genuine_4_71121.jpg,0
2\print_1_417.jpg,2
0\genuine_2_21675.jpg,0
0\genuine_2_21892.jpg,0
1\fake_2_100056.jpg,1
1\fake_7_242245.jpg,1
2\print_2_6893.jpg,2
1\fake_3_135006.jpg,1
1\fake_4_210748.jpg,1
1\fake_4_193719.jpg,1
1\fake_1_39392.jpg,1
0\genuine_3_52014.jpg,0
1\fake_4_223063.jpg,1
1\fake_2_89475.jpg,1
1\fake_3_168646.jpg,1
0\genuine_2_36694.jpg,0
1\fake_3_134365.jpg,1
0\genuine_4_71502.jpg,0
1\fake_2_104996.jpg,1
2\print_1_3268.jpg,2
2\print_1_952.jpg,2
2\print_1_1054.jpg,2
0\genuine_4_70713.jpg,0
0\genuine_2_31686.jpg,0
0\genuine_2_30439.jpg,0
0\genuine_1_3196.jpg,0
2\print_1_3534.jpg,2
0\genuine_3_40051.jpg,0
1\fake_3_162326.jpg,1
0\genuine_4_60773.jpg,0
0\genuine_1_1743.jpg,0
2\print_1_1195.jpg,2
2\print_2_6978.jpg,2
1\fake_3_121377.jpg,1
2\print_2_4002.jpg,2
0\genuine_5_82769.jpg,0
0\genuine_4_62478.jpg,0
1\fake_4_188653.jpg,1
0\genuine_3_43636.jpg,0
2\print_1_2934.jpg,2
1\fake_4_177561.jpg,1
0\genuine_3_40035.jpg,0
0\genuine_3_44951.jpg,0
2\print_2_4351.jpg,2
0\genuine_2_21080.jpg,0
2\print_1_2417.jpg,2
0\genuine_2_32593.jpg,0
1\fake_1_30617.jpg,1
0\genuine_2_37411.jpg,0
2\print_2_5605.jpg,2
0\genuine_3_43474.jpg,0
2\print_1_1804.jpg,2
0\genuine_4_70381.jpg,0
0\genuine_3_44861.jpg,0
0\genuine_2_25088.jpg,0
0\genuine_1_15305.jpg,0
0\genuine_1_7729.jpg,0
1\fake_4_186365.jpg,1
1\fake_1_27019.jpg,1
2\print_1_3627.jpg,2
1\fake_3_125276.jpg,1
2\print_1_435.jpg,2
1\fake_4_188132.jpg,1
0\genuine_1_8021.jpg,0
1\fake_4_178329.jpg,1
2\print_2_7242.jpg,2
0\genuine_4_68601.jpg,0
2\print_2_5248.jpg,2
0\genuine_3_58146.jpg,0
0\genuine_5_87515.jpg,0
0\genuine_4_72060.jpg,0
1\fake_3_157634.jpg,1
1\fake_2_105720.jpg,1
0\genuine_5_82808.jpg,0
2\print_2_7809.jpg,2
0\genuine_4_65030.jpg,0
0\genuine_4_63997.jpg,0
2\print_1_2264.jpg,2
0\genuine_3_41264.jpg,0
0\genuine_2_30233.jpg,0
2\print_1_558.jpg,2
1\fake_6_237423.jpg,1
0\genuine_3_51404.jpg,0
0\genuine_4_64978.jpg,0
0\genuine_4_60671.jpg,0
0\genuine_1_676.jpg,0
0\genuine_5_81697.jpg,0
1\fake_1_49837.jpg,1
2\print_2_7716.jpg,2
2\print_1_11.jpg,2
2\print_2_4490.jpg,2
2\print_2_7921.jpg,2
1\fake_4_224951.jpg,1
0\genuine_3_50659.jpg,0
1\fake_3_156011.jpg,1
2\print_2_7384.jpg,2
1\fake_1_56305.jpg,1
2\print_2_6664.jpg,2
2\print_2_5895.jpg,2
0\genuine_2_27301.jpg,0
1\fake_1_26977.jpg,1
1\fake_1_21067.jpg,1
2\print_2_5265.jpg,2
0\genuine_1_9597.jpg,0
0\genuine_5_79148.jpg,0
2\print_1_1677.jpg,2
0\genuine_2_39412.jpg,0
0\genuine_2_21827.jpg,0
2\print_1_3192.jpg,2
0\genuine_1_4012.jpg,0
2\print_2_5041.jpg,2
0\genuine_2_36699.jpg,0
1\fake_4_198255.jpg,1
0\genuine_2_36155.jpg,0
0\genuine_5_84844.jpg,0
2\print_2_7420.jpg,2
0\genuine_3_49278.jpg,0
1\fake_1_24445.jpg,1
1\fake_1_10416.jpg,1
2\print_2_7433.jpg,2
1\fake_2_75120.jpg,1
0\genuine_1_17558.jpg,0
0\genuine_1_15310.jpg,0
2\print_2_7438.jpg,2
0\genuine_3_53327.jpg,0
2\print_1_346.jpg,2
0\genuine_2_24856.jpg,0
1\fake_4_218763.jpg,1
2\print_2_5906.jpg,2
2\print_1_693.jpg,2
1\fake_4_223636.jpg,1
1\fake_3_137822.jpg,1
1\fake_1_34522.jpg,1
2\print_1_2753.jpg,2
0\genuine_1_12789.jpg,0
1\fake_8_249405.jpg,1
1\fake_2_98349.jpg,1
1\fake_2_105942.jpg,1
2\print_1_464.jpg,2
2\print_1_2144.jpg,2
1\fake_3_131100.jpg,1
1\fake_4_208324.jpg,1
0\genuine_2_23348.jpg,0
1\fake_1_5766.jpg,1
2\print_1_1806.jpg,2
1\fake_2_75546.jpg,1
0\genuine_2_21304.jpg,0
0\genuine_4_70092.jpg,0
1\fake_1_34681.jpg,1
2\print_2_5431.jpg,2
1\fake_3_136663.jpg,1
2\print_1_2550.jpg,2
2\print_1_359.jpg,2
1\fake_1_51038.jpg,1
2\print_1_568.jpg,2
2\print_2_5461.jpg,2
1\fake_4_200093.jpg,1
2\print_2_4080.jpg,2
1\fake_8_245381.jpg,1
1\fake_2_85953.jpg,1
2\print_2_7225.jpg,2
0\genuine_1_18606.jpg,0
1\fake_3_166366.jpg,1
0\genuine_1_13471.jpg,0
1\fake_3_145028.jpg,1
1\fake_4_196788.jpg,1
0\genuine_3_41383.jpg,0
2\print_1_3086.jpg,2
0\genuine_5_80897.jpg,0
0\genuine_1_16526.jpg,0
1\fake_2_58425.jpg,1
1\fake_2_80902.jpg,1
1\fake_1_12170.jpg,1
1\fake_1_13235.jpg,1
1\fake_3_131749.jpg,1
0\genuine_5_83210.jpg,0
1\fake_4_203494.jpg,1
2\print_1_3164.jpg,2
1\fake_4_229011.jpg,1
2\print_2_4346.jpg,2
1\fake_3_150172.jpg,1
1\fake_3_118813.jpg,1
1\fake_4_191672.jpg,1
0\genuine_2_34348.jpg,0
1\fake_2_64772.jpg,1
2\print_1_1772.jpg,2
1\fake_3_120094.jpg,1
0\genuine_4_66981.jpg,0
1\fake_3_117055.jpg,1
1\fake_1_9519.jpg,1
0\genuine_4_70780.jpg,0
1\fake_3_134670.jpg,1
2\print_1_972.jpg,2
0\genuine_2_32763.jpg,0
0\genuine_4_62798.jpg,0
1\fake_3_158033.jpg,1
0\genuine_3_51591.jpg,0
1\fake_2_95592.jpg,1
2\print_1_1102.jpg,2
1\fake_3_126983.jpg,1
1\fake_2_104497.jpg,1
2\print_2_6198.jpg,2
2\print_1_2426.jpg,2
0\genuine_1_12568.jpg,0
0\genuine_4_70652.jpg,0
0\genuine_3_56695.jpg,0
1\fake_3_162696.jpg,1
0\genuine_1_11726.jpg,0
2\print_1_2911.jpg,2
1\fake_1_19543.jpg,1
2\print_1_1652.jpg,2
1\fake_1_22937.jpg,1
1\fake_2_81130.jpg,1
0\genuine_2_25463.jpg,0
1\fake_2_112989.jpg,1
2\print_2_6319.jpg,2
0\genuine_3_58363.jpg,0
2\print_1_3594.jpg,2
0\genuine_2_28496.jpg,0
1\fake_4_199991.jpg,1
2\print_2_6249.jpg,2
0\genuine_3_51365.jpg,0
0\genuine_5_81403.jpg,0
2\print_1_1319.jpg,2
1\fake_4_214371.jpg,1
1\fake_1_43078.jpg,1
0\genuine_2_20419.jpg,0
2\print_1_3152.jpg,2
0\genuine_2_36377.jpg,0
2\print_1_1549.jpg,2
2\print_2_6497.jpg,2
2\print_1_716.jpg,2
0\genuine_1_14379.jpg,0
0\genuine_1_13354.jpg,0
2\print_1_2450.jpg,2
2\print_2_7125.jpg,2
2\print_1_2657.jpg,2
2\print_1_3562.jpg,2
0\genuine_5_82197.jpg,0
2\print_1_1933.jpg,2
0\genuine_2_36556.jpg,0
0\genuine_4_66427.jpg,0
0\genuine_4_77935.jpg,0
0\genuine_2_22898.jpg,0
0\genuine_3_58000.jpg,0
0\genuine_3_43614.jpg,0
1\fake_2_73626.jpg,1
1\fake_4_193004.jpg,1
2\print_2_7030.jpg,2
1\fake_2_106255.jpg,1
0\genuine_2_39246.jpg,0
0\genuine_3_49738.jpg,0
2\print_1_927.jpg,2
1\fake_3_144719.jpg,1
1\fake_2_63723.jpg,1
1\fake_5_235221.jpg,1
2\print_1_2990.jpg,2
1\fake_1_45199.jpg,1
1\fake_1_53769.jpg,1
1\fake_2_71328.jpg,1
2\print_2_5504.jpg,2
2\print_2_5227.jpg,2
0\genuine_2_22895.jpg,0
2\print_1_625.jpg,2
0\genuine_3_41766.jpg,0
1\fake_1_33706.jpg,1
2\print_1_2176.jpg,2
1\fake_3_147616.jpg,1
0\genuine_4_67360.jpg,0
0\genuine_4_70746.jpg,0
1\fake_7_241974.jpg,1
2\print_2_4324.jpg,2
1\fake_4_178383.jpg,1
0\genuine_1_16298.jpg,0
1\fake_4_201718.jpg,1
2\print_2_6465.jpg,2
0\genuine_5_80491.jpg,0
0\genuine_1_7686.jpg,0
2\print_2_4797.jpg,2
2\print_2_7836.jpg,2
1\fake_2_103718.jpg,1
2\print_1_3648.jpg,2
2\print_1_1777.jpg,2
0\genuine_3_44900.jpg,0
2\print_1_898.jpg,2
2\print_2_5566.jpg,2
0\genuine_2_23368.jpg,0
1\fake_1_26920.jpg,1
2\print_1_578.jpg,2
2\print_1_33.jpg,2
1\fake_4_226006.jpg,1
2\print_1_3155.jpg,2
0\genuine_1_18517.jpg,0
0\genuine_4_73467.jpg,0
0\genuine_1_19030.jpg,0
0\genuine_1_10809.jpg,0
2\print_2_4341.jpg,2
2\print_2_7099.jpg,2
1\fake_3_169874.jpg,1
1\fake_4_198870.jpg,1
1\fake_4_185093.jpg,1
1\fake_2_109145.jpg,1
0\genuine_2_28013.jpg,0
1\fake_3_151878.jpg,1
0\genuine_4_62876.jpg,0
1\fake_1_5451.jpg,1
0\genuine_3_41684.jpg,0
0\genuine_2_27159.jpg,0
0\genuine_1_16806.jpg,0
1\fake_3_170165.jpg,1
1\fake_1_2682.jpg,1
2\print_1_2791.jpg,2
2\print_1_367.jpg,2
0\genuine_4_65867.jpg,0
2\print_2_5623.jpg,2
2\print_1_360.jpg,2
0\genuine_2_30019.jpg,0
1\fake_4_210154.jpg,1
0\genuine_4_72946.jpg,0
2\print_1_3337.jpg,2
0\genuine_5_79481.jpg,0
0\genuine_4_68184.jpg,0
1\fake_2_99132.jpg,1
1\fake_5_236500.jpg,1
1\fake_4_215316.jpg,1
0\genuine_4_71469.jpg,0
0\genuine_4_65703.jpg,0
1\fake_3_131956.jpg,1
2\print_2_7040.jpg,2
1\fake_2_106158.jpg,1
2\print_2_6333.jpg,2
2\print_1_2887.jpg,2
1\fake_1_25831.jpg,1
2\print_2_6581.jpg,2
1\fake_8_243676.jpg,1
0\genuine_1_17982.jpg,0
1\fake_4_211661.jpg,1
1\fake_1_50939.jpg,1
1\fake_1_28297.jpg,1
2\print_1_3075.jpg,2
1\fake_1_45374.jpg,1
2\print_2_6275.jpg,2
0\genuine_2_26969.jpg,0
0\genuine_3_47292.jpg,0
0\genuine_4_66489.jpg,0
0\genuine_1_10488.jpg,0
0\genuine_5_80741.jpg,0
2\print_1_1216.jpg,2
1\fake_4_175968.jpg,1
0\genuine_2_24275.jpg,0
1\fake_1_328.jpg,1
2\print_2_7188.jpg,2
1\fake_3_174083.jpg,1
1\fake_2_74973.jpg,1
1\fake_4_188122.jpg,1
2\print_2_7128.jpg,2
1\fake_2_113478.jpg,1
2\print_2_4851.jpg,2
1\fake_1_37740.jpg,1
0\genuine_1_16001.jpg,0
2\print_1_3252.jpg,2
0\genuine_4_77054.jpg,0
1\fake_2_80298.jpg,1
1\fake_4_217605.jpg,1
0\genuine_2_34174.jpg,0
0\genuine_2_37069.jpg,0
2\print_2_4190.jpg,2
2\print_2_5629.jpg,2
1\fake_3_138588.jpg,1
1\fake_4_187722.jpg,1
1\fake_3_157258.jpg,1
0\genuine_1_17710.jpg,0
1\fake_4_189611.jpg,1
0\genuine_1_6966.jpg,0
2\print_2_6952.jpg,2
0\genuine_3_42995.jpg,0
0\genuine_2_35397.jpg,0
0\genuine_3_54462.jpg,0
1\fake_4_194792.jpg,1
2\print_2_6634.jpg,2
0\genuine_2_26049.jpg,0
2\print_2_6747.jpg,2
1\fake_2_94388.jpg,1
2\print_1_1994.jpg,2
0\genuine_1_9645.jpg,0
1\fake_3_160272.jpg,1
1\fake_4_194666.jpg,1
1\fake_2_92330.jpg,1
1\fake_2_74674.jpg,1
0\genuine_3_51646.jpg,0
1\fake_3_169104.jpg,1
2\print_2_5247.jpg,2
0\genuine_1_17751.jpg,0
1\fake_3_164980.jpg,1
